temperature,mixing_ratio,refresh_count,elapsed_time,growth_percentage,remaining_time
24,1:1:1,3,0,0,305
26,1:1:1,3,0,0,230
25,1:1:1,1,0,0,1430
25,1:1:1,2,0,0,280
25,1:1:1,4,0,0,230
25,1:2:2,5,0,0,250
25,1:2:2,6,0,0,220
25,1:2:2,8,0,0,300
25,1:5:5,5,0,0,370
25,1:5:5,6,0,0,750
25,1:5:5,7,0,0,300
25,1:10:10,5,0,0,370
25,1:10:10,6,0,0,750
25,1:10:10,7,0,0,535
28,1:2:2,1,0,0,1080
28,1:2:2,3,0,0,230
28,1:2:2,5,0,0,160
28,1:5:5,6,0,0,310
28,1:5:5,7,0,0,810
28,1:5:5,8,0,0,300
28,1:10:10,6,0,0,310
28,1:10:10,8,0,0,300
26,1:1:1,9,0,0,260
26,1:2:2,9,0,0,290
24,1:1:1,10,0,0,277
24,1:2:2,10,0,0,347
24,1:1:1,11,0,0,350
24,1:2:2,11,0,0,430
26,1:1:1,11,0,0,320
26,1:2:2,11,0,0,360
24,1:1:1,12,0,0,280
24,1:2:2,12,0,0,370
26,1:1:1,12,0,0,260
26,1:2:2,12,0,0,390
26,1:1:1,1,0,0,300
28,1:2:2,2,0,0,300
24,1:1:1,2,0,0,370
26,1:1:1,2,0,0,290
28,1:1:1,2,0,0,290
24,1:2:2,2,0,0,405
26,1:2:2,2,0,0,380
28,1:2:2,2,0,0,350
24,1:5:5,2,0,0,530
26,1:5:5,2,0,0,520
28,1:5:5,2,0,0,380
28,1:1:1,4,0,0,230
28,1:2:2,4,0,0,340
26,1:1:1,4,0,0,240
26,1:5:5,4,0,0,480
24,1:1:1,4,0,0,300
28,1:1:1,5,0,0,260
28,1:2:2,5,0,0,275
28,1:5:5,5,0,0,360
26,1:1:1,5,0,0,290
26,1:2:2,5,0,0,335
26,1:5:5,5,0,0,510
24,1:1:1,5,0,0,350
24,1:5:5,5,0,0,485
28,1:2:2,6,0,0,345
28,1:5:5,6,0,0,360
26,1:2:2,6,0,0,375
24,1:1:1,3,0,0,292
24,1:1:1,3,0,0,316
24,1:1:1,3,0,0,330
24,1:1:1,3,0,0,299
24,1:1:1,3,0,0,287
26,1:1:1,3,0,0,208
26,1:1:1,3,0,0,220
26,1:1:1,3,0,0,207
26,1:1:1,3,0,0,235
26,1:1:1,3,0,0,213
25,1:1:1,1,0,0,1557
25,1:1:1,1,0,0,1363
25,1:1:1,1,0,0,1313
25,1:1:1,1,0,0,1491
25,1:1:1,1,0,0,1440
25,1:1:1,2,0,0,295
25,1:1:1,2,0,0,268
25,1:1:1,2,0,0,270
25,1:1:1,2,0,0,302
25,1:1:1,2,0,0,275
25,1:1:1,4,0,0,238
25,1:1:1,4,0,0,214
25,1:1:1,4,0,0,209
25,1:1:1,4,0,0,247
25,1:1:1,4,0,0,213
25,1:2:2,5,0,0,253
25,1:2:2,5,0,0,226
25,1:2:2,5,0,0,266
25,1:2:2,5,0,0,225
25,1:2:2,5,0,0,242
25,1:2:2,6,0,0,200
25,1:2:2,6,0,0,229
25,1:2:2,6,0,0,215
25,1:2:2,6,0,0,240
25,1:2:2,6,0,0,222
25,1:2:2,8,0,0,286
25,1:2:2,8,0,0,299
25,1:2:2,8,0,0,273
25,1:2:2,8,0,0,315
25,1:2:2,8,0,0,300
25,1:5:5,5,0,0,403
25,1:5:5,5,0,0,341
25,1:5:5,5,0,0,375
25,1:5:5,5,0,0,351
25,1:5:5,5,0,0,396
25,1:5:5,6,0,0,774
25,1:5:5,6,0,0,773
25,1:5:5,6,0,0,767
25,1:5:5,6,0,0,735
25,1:5:5,6,0,0,818
25,1:5:5,7,0,0,291
25,1:5:5,7,0,0,305
25,1:5:5,7,0,0,276
25,1:5:5,7,0,0,305
25,1:5:5,7,0,0,270
25,1:10:10,5,0,0,388
25,1:10:10,5,0,0,369
25,1:10:10,5,0,0,396
25,1:10:10,5,0,0,398
25,1:10:10,5,0,0,386
