temperature,mixing_ratio,refresh_count,elapsed_time,growth_percentage,remaining_time
25,1:1:1,1,120,0,1310
25,1:1:1,1,180,0,1250
25,1:1:1,1,240,0,1190
25,1:1:1,1,870,10,560
25,1:1:1,1,930,20,500
25,1:1:1,1,1020,80,410
25,1:1:1,1,1080,95,350
25,1:1:1,1,1430,100,0
25,1:1:1,2,160,68,120
25,1:1:1,2,220,80,60
25,1:1:1,2,280,111,0
25,1:1:1,3,600,100,0
25,1:1:1,4,50,0,180
25,1:1:1,4,110,90,120
25,1:1:1,4,170,110,60
25,1:1:1,4,230,200,0
25,1:2:2,5,150,40,100
25,1:2:2,5,250,100,0
25,1:2:2,6,40,12,180
25,1:2:2,6,100,15,120
25,1:2:2,6,160,44,60
25,1:2:2,6,220,107,0
25,1:2:2,7,640,100,0
25,1:2:2,8,60,0,240
25,1:2:2,8,120,0,180
25,1:2:2,8,180,10,120
25,1:2:2,8,240,45,60
25,1:2:2,8,300,150,0
25,1:5:5,5,150,5,220
25,1:5:5,5,250,43,120
25,1:5:5,5,310,71,60
25,1:5:5,5,370,100,0
25,1:5:5,6,40,0,710
25,1:5:5,6,100,0,650
25,1:5:5,6,750,100,0
25,1:5:5,7,60,0,240
25,1:5:5,7,120,0,180
25,1:5:5,7,180,7,120
25,1:5:5,7,240,30,60
25,1:5:5,7,300,100,0
25,1:10:10,5,150,5,220
25,1:10:10,5,250,52,120
25,1:10:10,5,310,85,60
25,1:10:10,5,370,121,0
25,1:10:10,6,40,5,710
25,1:10:10,6,100,10,650
25,1:10:10,6,750,100,0
25,1:10:10,7,60,0,475
25,1:10:10,7,120,0,415
25,1:10:10,7,180,0,355
25,1:10:10,7,240,0,295
25,1:10:10,7,300,0,235
25,1:10:10,7,355,50,180
25,1:10:10,7,415,50,120
25,1:10:10,7,535,118,0
28,1:2:2,1,120,0,960
28,1:2:2,1,180,0,900
28,1:2:2,1,240,7,840
28,1:2:2,1,870,10,210
28,1:2:2,1,930,30,150
28,1:2:2,1,1020,95,60
28,1:2:2,1,1080,100,0
28,1:2:2,2,335,100,0
28,1:2:2,3,170,83,60
28,1:2:2,3,230,100,0
28,1:2:2,5,40,0,120
28,1:2:2,5,100,30,60
28,1:2:2,5,160,100,0
28,1:5:5,6,150,10,160
28,1:5:5,6,250,84,60
28,1:5:5,6,310,120,0
28,1:5:5,7,40,0,770
28,1:5:5,7,100,12,710
28,1:5:5,7,160,24,650
28,1:5:5,7,810,100,0
28,1:5:5,8,60,10,240
28,1:5:5,8,120,20,180
28,1:5:5,8,180,50,120
28,1:5:5,8,240,70,60
28,1:5:5,8,300,150,0
28,1:10:10,6,150,5,160
28,1:10:10,6,250,75,60
28,1:10:10,6,310,100,0
28,1:10:10,8,60,5,240
28,1:10:10,8,120,10,180
28,1:10:10,8,180,50,120
28,1:10:10,8,240,90,60
28,1:10:10,8,300,150,0
26,1:1:1,9,0,0,260
26,1:1:1,9,30,2,230
26,1:1:1,9,90,11,170
26,1:1:1,9,140,36,120
26,1:1:1,9,170,57,90
26,1:1:1,9,200,71,60
26,1:1:1,9,230,95,30
26,1:1:1,9,260,113,0
26,1:2:2,9,0,0,290
26,1:2:2,9,30,4,260
26,1:2:2,9,90,11,200
26,1:2:2,9,140,22,150
26,1:2:2,9,170,37,120
26,1:2:2,9,200,50,90
26,1:2:2,9,230,69,60
26,1:2:2,9,260,83,30
26,1:2:2,9,290,104,0
24,1:1:1,10,0,0,277
24,1:1:1,10,37,4,240
