온도,비율,리프레시 횟수,경과 시간(minute),성장 비율(%)
19,1:01:01,10,0,0
19,1:01:01,10,50,7
19,1:01:01,10,100,19
19,1:01:01,10,150,35
19,1:01:01,10,200,54
19,1:01:01,10,250,76
19,1:01:01,10,300,100
19,1:02:02,12,0,0
19,1:02:02,12,55,7
19,1:02:02,12,110,19
19,1:02:02,12,165,35
19,1:02:02,12,220,54
19,1:02:02,12,275,76
19,1:02:02,12,330,100
19,1:02:02,12,0,0
19,1:02:02,12,60,7
19,1:02:02,12,120,19
19,1:02:02,12,180,35
19,1:02:02,12,240,54
19,1:02:02,12,300,76
19,1:02:02,12,360,100
19,1:01:01,10,0,0
19,1:01:01,10,60,7
19,1:01:01,10,120,19
19,1:01:01,10,180,35
19,1:01:01,10,240,54
19,1:01:01,10,300,76
19,1:01:01,10,360,100
19,1:10:10,14,0,0
19,1:10:10,14,103,7
19,1:10:10,14,206,19
19,1:10:10,14,310,35
19,1:10:10,14,413,54
19,1:10:10,14,516,76
19,1:10:10,14,620,100
19,1:05:05,12,0,0
19,1:05:05,12,80,7
19,1:05:05,12,160,19
19,1:05:05,12,240,35
19,1:05:05,12,320,54
19,1:05:05,12,400,76
19,1:05:05,12,480,100
19,1:05:05,12,0,0
19,1:05:05,12,90,7
19,1:05:05,12,180,19
19,1:05:05,12,270,35
19,1:05:05,12,360,54
19,1:05:05,12,450,76
19,1:05:05,12,540,100
19,1:10:10,14,0,0
19,1:10:10,14,110,7
19,1:10:10,14,220,19
19,1:10:10,14,330,35
19,1:10:10,14,440,54
19,1:10:10,14,550,76
19,1:10:10,14,660,100
19,1:01:01,10,0,0
19,1:01:01,10,60,7
19,1:01:01,10,120,19
19,1:01:01,10,180,35
19,1:01:01,10,240,54
19,1:01:01,10,300,76
19,1:01:01,10,360,100
19,1:02:02,12,0,0
19,1:02:02,12,60,7
19,1:02:02,12,120,19
19,1:02:02,12,180,35
19,1:02:02,12,240,54
19,1:02:02,12,300,76
19,1:02:02,12,360,100
19,1:05:05,12,0,0
19,1:05:05,12,85,7
19,1:05:05,12,170,19
19,1:05:05,12,255,35
19,1:05:05,12,340,54
19,1:05:05,12,425,76
19,1:05:05,12,510,100
19,1:10:10,14,0,0
19,1:10:10,14,115,7
19,1:10:10,14,230,19
19,1:10:10,14,345,35
19,1:10:10,14,460,54
19,1:10:10,14,575,76
19,1:10:10,14,690,100
20,1:01:01,7,0,0
20,1:01:01,7,75,7
20,1:01:01,7,150,19
20,1:01:01,7,225,35
20,1:01:01,7,300,54
20,1:01:01,7,375,76
20,1:01:01,7,450,100
20,1:10:10,14,0,0
20,1:10:10,14,80,7
20,1:10:10,14,160,19
20,1:10:10,14,240,35
20,1:10:10,14,320,54
20,1:10:10,14,400,76
20,1:10:10,14,480,100
20,1:01:01,6,0,0
20,1:01:01,6,90,7
20,1:01:01,6,180,19
20,1:01:01,6,270,35
20,1:01:01,6,360,54
20,1:01:01,6,450,76
20,1:01:01,6,540,100
20,1:02:02,7,0,0
20,1:02:02,7,90,7
20,1:02:02,7,180,19
20,1:02:02,7,270,35
20,1:02:02,7,360,54
20,1:02:02,7,450,76
20,1:02:02,7,540,100
20,1:01:01,5,0,0
20,1:01:01,5,120,7
20,1:01:01,5,240,19
20,1:01:01,5,360,35
20,1:01:01,5,480,54
20,1:01:01,5,600,76
20,1:01:01,5,720,100
21,1:01:01,13,0,0
21,1:01:01,13,45,7
21,1:01:01,13,90,19
21,1:01:01,13,135,35
21,1:01:01,13,180,54
21,1:01:01,13,225,76
21,1:01:01,13,270,100
21,1:05:05,6,0,0
21,1:05:05,6,110,7
21,1:05:05,6,220,19
21,1:05:05,6,330,35
21,1:05:05,6,440,54
21,1:05:05,6,550,76
21,1:05:05,6,660,100
21,1:05:05,5,0,0
21,1:05:05,5,118,7
21,1:05:05,5,236,19
21,1:05:05,5,355,35
21,1:05:05,5,473,54
21,1:05:05,5,591,76
21,1:05:05,5,710,100
21,1:05:05,12,0,0
21,1:05:05,12,70,7
21,1:05:05,12,140,19
21,1:05:05,12,210,35
21,1:05:05,12,280,54
21,1:05:05,12,350,76
21,1:05:05,12,420,100
21,1:01:01,8,0,0
21,1:01:01,8,80,7
21,1:01:01,8,160,19
21,1:01:01,8,240,35
21,1:01:01,8,320,54
21,1:01:01,8,400,76
21,1:01:01,8,480,100
21,1:05:05,11,0,0
21,1:05:05,11,80,7
21,1:05:05,11,160,19
21,1:05:05,11,240,35
21,1:05:05,11,320,54
21,1:05:05,11,400,76
21,1:05:05,11,480,100
21,1:01:01,5,0,0
21,1:01:01,5,120,7
21,1:01:01,5,240,19
21,1:01:01,5,360,35
21,1:01:01,5,480,54
21,1:01:01,5,600,76
21,1:01:01,5,720,100
21,1:02:02,9,0,0
21,1:02:02,9,140,7
21,1:02:02,9,280,19
21,1:02:02,9,420,35
21,1:02:02,9,560,54
21,1:02:02,9,700,76
21,1:02:02,9,840,100
22,1:01:01,1,0,0
22,1:01:01,1,240,7
22,1:01:01,1,480,19
22,1:01:01,1,720,35
22,1:01:01,1,960,54
22,1:01:01,1,1200,76
22,1:01:01,1,1440,100
22,1:05:05,12,0,0
22,1:05:05,12,120,7
22,1:05:05,12,240,19
22,1:05:05,12,360,35
22,1:05:05,12,480,54
22,1:05:05,12,600,76
22,1:05:05,12,720,100
22,1:01:01,11,0,0
22,1:01:01,11,46,7
22,1:01:01,11,93,19
22,1:01:01,11,140,35
22,1:01:01,11,186,54
22,1:01:01,11,233,76
22,1:01:01,11,280,100
22,1:10:10,8,0,0
22,1:10:10,8,110,7
22,1:10:10,8,220,19
22,1:10:10,8,330,35
22,1:10:10,8,440,54
22,1:10:10,8,550,76
22,1:10:10,8,660,100
22,1:05:05,4,0,0
22,1:05:05,4,120,7
22,1:05:05,4,240,19
22,1:05:05,4,360,35
22,1:05:05,4,480,54
22,1:05:05,4,600,76
22,1:05:05,4,720,100
22,1:05:05,5,0,0
22,1:05:05,5,116,7
22,1:05:05,5,233,19
22,1:05:05,5,350,35
22,1:05:05,5,466,54
22,1:05:05,5,583,76
22,1:05:05,5,700,100
23,1:01:01,2,0,0
23,1:01:01,2,120,7
23,1:01:01,2,240,19
23,1:01:01,2,360,35
23,1:01:01,2,480,54
23,1:01:01,2,600,76
23,1:01:01,2,720,100
23,1:02:02,1,0,0
23,1:02:02,1,280,7
23,1:02:02,1,560,19
23,1:02:02,1,840,35
23,1:02:02,1,1120,54
23,1:02:02,1,1400,76
23,1:02:02,1,1680,100
23,1:02:02,3,0,0
23,1:02:02,3,120,7
23,1:02:02,3,240,19
23,1:02:02,3,360,35
23,1:02:02,3,480,54
23,1:02:02,3,600,76
23,1:02:02,3,720,100
23,1:01:01,14,0,0
23,1:01:01,14,60,7
23,1:01:01,14,120,19
23,1:01:01,14,180,35
23,1:01:01,14,240,54
23,1:01:01,14,300,76
23,1:01:01,14,361,100
23,1:02:02,13,0,0
23,1:02:02,13,61,7
23,1:02:02,13,123,19
23,1:02:02,13,185,35
23,1:02:02,13,246,54
23,1:02:02,13,308,76
23,1:02:02,13,370,100
23,1:02:02,14,0,0
23,1:02:02,14,60,7
23,1:02:02,14,120,19
23,1:02:02,14,180,35
23,1:02:02,14,240,54
23,1:02:02,14,300,76
23,1:02:02,14,360,100
23,1:05:05,14,0,0
23,1:05:05,14,100,7
23,1:05:05,14,200,19
23,1:05:05,14,300,35
23,1:05:05,14,400,54
23,1:05:05,14,500,76
23,1:05:05,14,600,100
23,1:01:01,1,0,0
23,1:01:01,1,240,7
23,1:01:01,1,480,19
23,1:01:01,1,720,35
23,1:01:01,1,960,54
23,1:01:01,1,1200,76
23,1:01:01,1,1440,100
24,1:01:01,3,0,0
24,1:01:01,3,110,15
24,1:01:01,3,176,39
24,1:01:01,3,230,64
24,1:01:01,3,260,79
24,1:01:01,3,290,93
24,1:01:01,3,305,100
24,1:01:01,10,0,0
24,1:01:01,10,37,4
24,1:01:01,10,67,7
24,1:01:01,10,107,19
24,1:01:01,10,147,41
24,1:01:01,10,187,63
24,1:01:01,10,217,78
24,1:01:01,10,247,96
24,1:01:01,10,277,115
24,1:02:02,10,0,0
24,1:02:02,10,37,2
24,1:02:02,10,67,4
24,1:02:02,10,107,7
24,1:02:02,10,147,17
24,1:02:02,10,187,31
24,1:02:02,10,217,41
24,1:02:02,10,247,54
24,1:02:02,10,277,67
24,1:02:02,10,307,85
24,1:02:02,10,347,104
24,1:01:01,11,0,0
24,1:01:01,11,170,26
24,1:01:01,11,200,43
24,1:01:01,11,230,55
24,1:01:01,11,270,78
24,1:01:01,11,350,110
24,1:02:02,11,0,0
24,1:02:02,11,170,7
24,1:02:02,11,200,17
24,1:02:02,11,230,43
24,1:02:02,11,270,41
24,1:02:02,11,350,76
24,1:02:02,11,390,91
24,1:02:02,11,430,104
24,1:01:01,12,0,0
24,1:01:01,12,90,10
24,1:01:01,12,130,26
24,1:01:01,12,160,40
24,1:01:01,12,190,55
24,1:01:01,12,220,69
24,1:01:01,12,240,83
24,1:01:01,12,260,90
24,1:01:01,12,270,97
24,1:01:01,12,280,100
24,1:02:02,12,0,0
24,1:02:02,12,30,2
24,1:02:02,12,120,9
24,1:02:02,12,160,20
24,1:02:02,12,190,29
