temperature,mixing_ratio,refresh_count,elapsed_time,growth_percentage,remaining_time
26.0,1:10:10,5,363,60,145
24.0,1:5:5,2,1569,27,1145
26.0,1:5:5,3,728,9,662
28.0,1:10:10,3,629,50,314
25.0,1:1:1,2,1032,54,474
25.0,1:10:10,4,663,52,318
24.0,1:1:1,4,548,40,328
26.0,1:2:2,8,118,41,69
28.0,1:10:10,8,114,54,52
25.0,1:5:5,4,596,46,321
26.0,1:10:10,8,147,72,41
26.0,1:1:1,1,1260,47,667
26.0,1:2:2,4,434,51,212
25.0,1:1:1,2,1032,63,381
24.0,1:2:2,4,626,55,281
28.0,1:1:1,8,80,37,50
26.0,1:5:5,6,219,26,162
28.0,1:2:2,6,152,51,74
25.0,1:2:2,2,1180,40,708
25.0,1:2:2,4,530,51,259
25.0,1:2:2,6,238,53,111
26.0,1:10:10,6,244,56,107
26.0,1:10:10,1,1800,55,809
28.0,1:2:2,1,1120,92,89
28.0,1:10:10,4,422,40,253
