온도,비율,리프레시 횟수,경과 시간(minute),성장 비율(%),남은 시간
25,1:1:1,1,120,0,1310
25,1:1:1,1,180,0,1250
25,1:1:1,1,240,0,1190
25,1:1:1,1,870,10,560
25,1:1:1,1,930,20,500
25,1:1:1,1,1020,80,410
25,1:1:1,1,1080,95,350
25,1:1:1,1,1430,100,0
25,1:1:1,3,600,100,0
25,1:2:2,5,150,40,100
25,1:2:2,5,250,100,0
25,1:2:2,7,640,100,0
25,1:2:2,8,60,0,425
25,1:2:2,8,120,0,365
25,1:2:2,8,180,10,305
25,1:2:2,8,240,45,245
25,1:2:2,8,300,150,185
25,1:2:2,8,365,200,120
25,1:2:2,8,425,140,60
25,1:2:2,8,485,100,0
25,1:5:5,5,150,5,220
25,1:5:5,5,250,43,120
25,1:5:5,5,310,71,60
25,1:5:5,5,370,100,0
25,1:5:5,6,40,0,710
25,1:5:5,6,100,0,650
25,1:5:5,6,750,100,0
25,1:5:5,7,60,0,240
25,1:5:5,7,120,0,180
25,1:5:5,7,180,7,120
25,1:5:5,7,240,30,60
25,1:5:5,7,300,100,0
25,1:5:5,7,360,80,-60
25,1:5:5,7,420,100,-120
25,1:5:5,7,540,81,-240
25,1:10:10,6,40,5,710
25,1:10:10,6,100,10,650
25,1:10:10,6,750,100,0
28,1:2:2,1,120,0,960
28,1:2:2,1,180,0,900
28,1:2:2,1,240,7,840
28,1:2:2,1,870,10,210
28,1:2:2,1,930,30,150
28,1:2:2,1,1020,95,60
28,1:2:2,1,1080,100,0
28,1:2:2,2,335,100,0
28,1:2:2,2,505,83,-170
28,1:2:2,2,565,100,-230
28,1:2:2,5,40,0,120
28,1:2:2,5,100,30,60
28,1:2:2,5,160,100,0
28,1:5:5,7,40,0,770
28,1:5:5,7,100,12,710
28,1:5:5,7,160,24,650
28,1:5:5,7,810,100,0
28,1:10:10,6,150,5,160
28,1:10:10,6,250,75,60
28,1:10:10,6,310,100,0
