temperature,mixing_ratio,refresh_count,elapsed_time,growth_percentage,remaining_time
24,1:01:01,3,0,0,305
24,1:01:01,3,110,15,195
24,1:01:01,3,176,39,129
24,1:01:01,3,230,64,75
24,1:01:01,3,260,79,45
24,1:01:01,3,290,93,15
24,1:01:01,3,305,100,0
26,1:01:01,3,0,0,230
26,1:01:01,3,110,26,120
26,1:01:01,3,176,67,54
26,1:01:01,3,230,100,0
25,1:01:01,1,0,0,1430
25,1:01:01,1,120,0,1310
25,1:01:01,1,180,0,1250
25,1:01:01,1,240,0,1190
25,1:01:01,1,870,10,560
25,1:01:01,1,930,20,500
25,1:01:01,1,1020,80,410
25,1:01:01,1,1080,95,350
25,1:01:01,1,1430,100,0
25,1:01:01,2,0,0,280
25,1:01:01,2,160,68,120
25,1:01:01,2,220,80,60
25,1:01:01,2,280,111,0
25,1:01:01,3,600,100,0
25,1:01:01,4,0,0,230
25,1:01:01,4,50,0,180
25,1:01:01,4,110,90,120
25,1:01:01,4,170,110,60
25,1:01:01,4,230,200,0
25,1:02:02,5,0,0,250
25,1:02:02,5,150,40,100
25,1:02:02,5,250,100,0
25,1:02:02,6,0,0,220
25,1:02:02,6,40,12,180
25,1:02:02,6,100,15,120
25,1:02:02,6,160,44,60
25,1:02:02,6,220,107,0
25,1:02:02,7,640,100,0
25,1:02:02,8,0,0,300
25,1:02:02,8,60,0,240
25,1:02:02,8,120,0,180
25,1:02:02,8,180,10,120
25,1:02:02,8,240,45,60
25,1:02:02,8,300,150,0
25,1:05:05,5,0,0,370
25,1:05:05,5,150,5,220
25,1:05:05,5,250,43,120
25,1:05:05,5,310,71,60
25,1:05:05,5,370,100,0
25,1:05:05,6,0,0,750
25,1:05:05,6,40,0,710
25,1:05:05,6,100,0,650
25,1:05:05,6,750,100,0
25,1:05:05,7,0,0,300
25,1:05:05,7,60,0,240
25,1:05:05,7,120,0,180
25,1:05:05,7,180,7,120
25,1:05:05,7,240,30,60
25,1:05:05,7,300,100,0
25,1:10:10,5,0,0,370
25,1:10:10,5,150,5,220
25,1:10:10,5,250,52,120
25,1:10:10,5,310,85,60
25,1:10:10,5,370,121,0
25,1:10:10,6,0,0,750
25,1:10:10,6,40,5,710
25,1:10:10,6,100,10,650
25,1:10:10,6,750,100,0
25,1:10:10,7,0,0,535
25,1:10:10,7,60,0,475
25,1:10:10,7,120,0,415
25,1:10:10,7,180,0,355
25,1:10:10,7,240,0,295
25,1:10:10,7,300,0,235
25,1:10:10,7,355,50,180
25,1:10:10,7,415,50,120
25,1:10:10,7,535,118,0
28,1:02:02,1,0,0,1080
28,1:02:02,1,120,0,960
28,1:02:02,1,180,0,900
28,1:02:02,1,240,7,840
28,1:02:02,1,870,10,210
28,1:02:02,1,930,30,150
28,1:02:02,1,1020,95,60
28,1:02:02,1,1080,100,0
28,1:02:02,2,335,100,0
28,1:02:02,3,0,0,230
28,1:02:02,3,170,83,60
28,1:02:02,3,230,100,0
28,1:02:02,5,0,0,160
28,1:02:02,5,40,0,120
28,1:02:02,5,100,30,60
28,1:02:02,5,160,100,0
28,1:05:05,6,0,0,310
28,1:05:05,6,150,10,160
28,1:05:05,6,250,84,60
28,1:05:05,6,310,120,0
28,1:05:05,7,0,0,810
28,1:05:05,7,40,0,770
28,1:05:05,7,100,12,710
28,1:05:05,7,160,24,650
28,1:05:05,7,810,100,0
28,1:05:05,8,0,0,300
28,1:05:05,8,60,10,240
28,1:05:05,8,120,20,180
28,1:05:05,8,180,50,120
28,1:05:05,8,240,70,60
28,1:05:05,8,300,150,0
28,1:10:10,6,0,0,310
28,1:10:10,6,150,5,160
28,1:10:10,6,250,75,60
28,1:10:10,6,310,100,0
28,1:10:10,8,0,0,300
28,1:10:10,8,60,5,240
28,1:10:10,8,120,10,180
28,1:10:10,8,180,50,120
28,1:10:10,8,240,90,60
28,1:10:10,8,300,150,0
26,1:01:01,9,0,0,260
26,1:01:01,9,30,2,230
26,1:01:01,9,90,11,170
26,1:01:01,9,140,36,120
26,1:01:01,9,170,57,90
26,1:01:01,9,200,71,60
26,1:01:01,9,230,95,30
26,1:01:01,9,260,113,0
26,1:02:02,9,0,0,290
26,1:02:02,9,30,4,260
26,1:02:02,9,90,11,200
26,1:02:02,9,140,22,150
26,1:02:02,9,170,37,120
26,1:02:02,9,200,50,90
26,1:02:02,9,230,69,60
26,1:02:02,9,260,83,30
26,1:02:02,9,290,104,0
24,1:01:01,10,0,0,277
24,1:01:01,10,37,4,240
24,1:01:01,10,67,7,210
24,1:01:01,10,107,19,170
24,1:01:01,10,147,41,130
24,1:01:01,10,187,63,90
24,1:01:01,10,217,78,60
24,1:01:01,10,247,96,30
24,1:01:01,10,277,115,0
24,1:02:02,10,0,0,347
24,1:02:02,10,37,2,310
24,1:02:02,10,67,4,280
24,1:02:02,10,107,7,240
24,1:02:02,10,147,17,200
24,1:02:02,10,187,31,160
24,1:02:02,10,217,41,130
24,1:02:02,10,247,54,100
24,1:02:02,10,277,67,70
24,1:02:02,10,307,85,40
24,1:02:02,10,347,104,0
24,1:01:01,11,0,0,350
24,1:01:01,11,170,26,180
24,1:01:01,11,200,43,150
24,1:01:01,11,230,55,120
24,1:01:01,11,270,78,80
24,1:01:01,11,350,110,0
24,1:02:02,11,0,0,430
24,1:02:02,11,170,7,260
24,1:02:02,11,200,17,230
24,1:02:02,11,230,43,200
24,1:02:02,11,270,41,160
24,1:02:02,11,350,76,80
