temperature,mixing_ratio,refresh_count,elapsed_time,growth_percentage,remaining_time
26.0,1:10:10,5,363,60,145
24.0,1:5:5,2,1569,27,1145
26.0,1:5:5,3,728,9,662
28.0,1:10:10,3,629,50,314
25.0,1:1:1,2,1032,54,474
25.0,1:10:10,4,663,52,318
24.0,1:1:1,4,548,40,328
26.0,1:2:2,8,118,41,69
28.0,1:10:10,8,114,54,52
25.0,1:5:5,4,596,46,321
26.0,1:10:10,8,147,72,41
26.0,1:1:1,1,1260,47,667
26.0,1:2:2,4,434,51,212
25.0,1:1:1,2,1032,63,381
24.0,1:2:2,4,626,55,281
28.0,1:1:1,8,80,37,50
26.0,1:5:5,6,219,26,162
28.0,1:2:2,6,152,51,74
25.0,1:2:2,2,1180,40,708
25.0,1:2:2,4,530,51,259
25.0,1:2:2,6,238,53,111
26.0,1:10:10,6,244,56,107
26.0,1:10:10,1,1800,55,809
28.0,1:2:2,1,1120,92,89
28.0,1:10:10,4,422,40,253
24.0,1:1:1,1,1820,19,1474
26.0,1:1:1,8,103,18,84
26.0,1:5:5,3,728,34,480
24.0,1:10:10,3,1168,49,595
25.0,1:5:5,2,1327,76,318
24.0,1:10:10,7,212,36,135
24.0,1:10:10,7,212,63,78
26.0,1:2:2,8,118,69,36
25.0,1:5:5,3,890,84,142
24.0,1:5:5,5,472,21,372
25.0,1:5:5,3,890,65,311
24.0,1:5:5,7,191,36,122
26.0,1:5:5,8,132,30,92
26.0,1:1:1,4,380,85,57
24.0,1:5:5,7,191,51,93
24.0,1:5:5,3,1051,72,294
28.0,1:2:2,2,751,76,180
24.0,1:2:2,1,2080,37,1310
28.0,1:10:10,4,422,40,253
25.0,1:2:2,3,791,34,522
24.0,1:5:5,6,317,32,215
24.0,1:1:1,1,1820,13,1583
25.0,1:10:10,3,989,29,702
24.0,1:2:2,5,420,18,344
28.0,1:5:5,3,566,78,124
25.0,1:10:10,8,180,8,165
25.0,1:1:1,2,1032,75,258
28.0,1:10:10,6,189,81,35
24.0,1:1:1,8,149,60,59
24.0,1:5:5,1,2340,38,1450
26.0,1:1:1,8,103,56,45
24.0,1:1:1,3,818,46,441
25.0,1:10:10,6,298,89,32
28.0,1:5:5,4,380,55,170
24.0,1:5:5,6,317,26,234
28.0,1:1:1,4,295,59,120
26.0,1:10:10,8,147,54,67
24.0,1:1:1,4,548,78,120
26.0,1:10:10,4,542,51,265
26.0,1:10:10,3,809,67,266
28.0,1:10:10,7,114,72,31
28.0,1:1:1,1,980,68,313
28.0,1:1:1,3,440,10,396
28.0,1:1:1,1,980,64,352
25.0,1:5:5,7,162,21,127
28.0,1:10:10,2,938,60,375
24.0,1:2:2,1,2080,47,1102
28.0,1:2:2,4,337,80,67
26.0,1:1:1,1,1260,53,592
26.0,1:5:5,8,132,52,63
25.0,1:10:10,1,2200,52,1056
28.0,1:10:10,3,629,77,144
28.0,1:2:2,1,1120,95,56
26.0,1:1:1,5,254,30,177
25.0,1:2:2,3,791,28,569
28.0,1:1:1,1,980,33,656
28.0,1:10:10,8,114,59,46
26.0,1:5:5,1,1620,58,680
26.0,1:5:5,6,219,12,192
26.0,1:2:2,6,195,56,85
26.0,1:2:2,8,118,51,57
26.0,1:5:5,2,1086,76,260
26.0,1:10:10,1,1800,23,1386
24.0,1:10:10,5,525,90,52
28.0,1:1:1,8,80,59,32
24.0,1:10:10,4,783,4,751
25.0,1:5:5,4,596,45,327
24.0,1:1:1,8,149,52,71
26.0,1:5:5,4,488,11,434
24.0,1:10:10,7,212,21,167
24.0,1:10:10,3,1168,28,840
28.0,1:2:2,1,1120,81,212
26.0,1:10:10,6,244,43,139
28.0,1:2:2,8,91,37,57
26.0,1:5:5,2,1086,77,249
25.0,1:2:2,1,1760,58,739
25.0,1:5:5,2,1327,85,199
26.0,1:2:2,1,1440,35,936
26.0,1:1:1,4,380,53,178
24.0,1:10:10,1,2600,36,1664
25.0,1:10:10,3,989,36,632
26.0,1:5:5,4,488,18,400
26.0,1:2:2,3,647,90,64
24.0,1:2:2,7,170,31,117
25.0,1:2:2,7,144,61,56
25.0,1:5:5,4,596,69,184
28.0,1:10:10,4,422,49,215
24.0,1:5:5,4,705,32,479
25.0,1:5:5,3,890,58,373
26.0,1:10:10,4,542,23,417
25.0,1:5:5,2,1327,10,1194
24.0,1:2:2,5,420,37,264
28.0,1:1:1,1,980,44,548
25.0,1:2:2,1,1760,19,1425
25.0,1:10:10,1,2200,43,1254
28.0,1:1:1,5,198,65,69
